GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
city-guide,com.cityguide.exception,GlobalExceptionHandler,0,47,0,2,0,10,0,5,0,4
city-guide,com.cityguide.exception,ResourceNotFoundException,0,10,0,0,0,3,0,2,0,2
city-guide,com.cityguide.config,OpenApiConfig,0,23,0,0,0,7,0,2,0,2
city-guide,com.cityguide.mapper,ReviewMapperImpl,6,76,3,7,3,24,3,6,0,4
city-guide,com.cityguide.mapper,AttractionMapperImpl,9,117,7,11,3,34,7,6,0,4
city-guide,com.cityguide.entity,Category,0,63,0,0,0,11,0,1,0,1
city-guide,com.cityguide.entity,Attraction.AttractionBuilder,28,65,1,1,0,1,3,9,2,9
city-guide,com.cityguide.entity,Review,0,70,0,0,0,10,0,15,0,15
city-guide,com.cityguide.entity,Review.ReviewBuilder,16,49,0,0,0,1,1,8,1,8
city-guide,com.cityguide.entity,Attraction,0,97,0,0,0,12,0,20,0,20
city-guide,com.cityguide.controller,AttractionController,0,38,0,0,0,7,0,7,0,7
city-guide,com.cityguide.service,AttractionServiceImpl,16,296,8,15,0,60,9,17,1,13
